target,source,time,week,comment
33,27,20170314,5,"I agree with your point of ""helping the disability to explore the world "" and make us entertain more at home. As the VR technology is developing, people can now travel the world or playing a horror game (Biohazd in PS4) via VR. VR definitely provide lots of amazing and exciting "" real experience"". However, I think VR can only PARTLY giving the ""physical information"" to us since nowadays VR only provide sound and scene (some may contains vibration). As a real ""physical information"", touching and smelling are also important elements for creating our memory. Therefore, we still can not make this become ""Real"" memory. Yet, the technology is keep on evolving. And nowadays there are some 4D movies included the touching and the smelling sense. By combining two technologies together, creating ""REAL physical information (memory)"" by VR will become POSSIBLE."
37,40,20170310,5,It is true that people are more likely to spend their time on social media through Internet. Therefore it is one of the good ways to promote the society through social media to let more people know about. I hope Mahjong society will become a registered society under Student Union soon.
67,64,20170308,5,"Maybe the alien and the human can communicate with symbols or actions. When they do not have a common language, it is much easier for them to communicate with image or actions. Maybe those tools can help them to solve the misunderstanding problem. haha."
6,22,20170309,5,I agree with you. Rumours are having an increasing influence in our society. We have to receive our information from credible news sources and prevent spreading unverified information on social media.
64,22,20170309,5,"I agree with you that using sentiment analysis is vital for businesses to understand their customers' opinions. By understanding the opinions, companies can have a more efficient and personal communications with their customers in order to maintain a dynamic customer relationship."
6,22,20170309,5,"I agree with you that people do use language creatively. Informal usage language, misspell and oversimplified sentences may cause extra difficulties in understanding the meaning of natural language using computer program."
53,22,20170309,5,I agree with you that HII plays an important role in our society. People shared their thoughts and opinions on social media platform. We could obtain the information that would be useful for different industries.
64,22,20170310,5,"I do agree with you that machine learning is a more reductive approach to avoid storing huge volume of information in database. In fact, a company in Japan released a product which using the principle of machine learning for flipping burgers."
64,22,20170310,5,I think you are right. Our conception are influenced by others opinion. And that is the very fundamental reason why we need to analyze people's online opinions.
35,22,20170310,5,"I agree with you. Speaking of the complexity of cognition process, the idea of social cognition further complicate our understanding of HII. We have no longer deemed human perception is an indivadual process but rather a social process involving human interactions within the community."
58,3,20170308,5,"Thank you for your sharing on contextual computing. You said that we are now expecting the smart devices can make a prediction before we make a decision. However, I think it may cause an information flood problem. I afraid that they may send some irrelevant information to the user. Worse still, the personal data of users may be recorded. How they can keep the data in private. I think this will be a big challenge for the developer."
62,3,20170308,5,"Your blog which about the Facebook news feed algorithm is really interesting. Therefore, I also search for it and find a simplified equation on how does Facebook choose what to show in news feed. Here is the equation, news feed visibility = C * P * T * R. C is representing the creator, how interested are we to the post's creator. P means the performance of the post.T means type of post. Are we interested in photo, video or link? R means recency, how new is the post. If we stick to this equation, our post may be read by more people."
25,3,20170308,5,"In your blog, you have mentioned several benefits of the VR technology. However, there are also some drawbacks of using VR. For the technology part, the technology required for a natural experience is still elusive. It is difficult for the haptic systems to provide physical feedback within a clumsy environment. For the Social part, it may lead to social isolation. Since the users over-relying on the interactions that take place in the virtual world, they may try to get rid of the social interaction in the real world. This kind of isolation may finally lead to depression or disassociation."
7,3,20170309,5,"I agreed that AR is a powerful tool, not only helping people to gain information between the virtual world and reality, but also bring more profits to the companies. Companies can use AR to let the customers have a closer look at the product, so as to enhance their shopping experience. Take an example of a furniture company, they can allow their potential customers to display virtual images of furniture to see whether it fit their living room or not. So that the customers can make a better choice and also increase the company's revenue."
71,3,20170309,5,"Your blog has reminded me a British science fiction television anthology series, ??Black Mirror"". In one of the episode named ??Be Right Back"", it talked about a women who lost her husband in a car accident and she found a technology that allow her to communicate with an artificial intelligence imitating husband. This technology worked because it collected all the past online data of her husband. I think this kind of technology may really work in the future. Just like what you have said, if the computer can get all four graphs of information of me, it can fully predict what is going on with me or even pretend it is me. Last but not least, I would like to recommend you to watch this science fiction ??Black Mirror"", it talks about the drawbacks of over-relying on the technology. Also it brings out some new ideas of technology that may really work in the future. Hope you enjoy it."
10,3,20170313,5,"Thank you for your sharing. After reading your blog, I have a clearer concept about how opinion mining work. In your blog, you have mentioned that if the companies make good use of opinion mining, they may promote their products more efficiently. I also found that we can make use of opinion mining in our college FYP. Since we have to conduct surveys to collect data from the interviewee, these data are random and difficult for us to analysis. If we adopt the opinion mining, we can easily classify whether the interviewee agrees with the question or not. This show a way that we can apply what we have learnt."
55,3,20170314,5,"Thank you for your sharing. I agreed that technology has made learning become more convenient. We don't have to go to the library to borrow the reference book, we can just search for it on the internet. It seems that the chances that we can learn new knowledge become more and more. However, the information on the internet may not be always true. Therefore, we have to distinguish which pieces of information are useful. If we have a wise use of the technology, they can definitely help us to learn faster and more."
25,3,20170314,5,"Your blog is very useful. After reading your blog, I know more about the differences between supervised machine learning and unsupervised machine learning. They are very useful for our daily life.Therefore, I searched on the internet and found the top 10 AI and machine learning use cases that everyone should know. One of them is the Natural Language Processing(NLP). Combining machine learning with the NLP, can help the customer service agents to route their customers to the information that they need. If you are also interested in the top 10 use cases, you may visit the website, https://www.forbes.com/sites/bernardmarr/2016/09/30/what-are-the-top-10-use-cases-for-machine-learning-and-ai/#4ae4910f94c9Thank you for your sharing."
41,3,20170314,5,"Thank you for your sharing. I agreed that it is difficult for the machine to translate the meaning of the words correctly. Take an example of google translation, it is always difficult if we try to use it to translate a paragraph in Chinese to English. It is because it didn't understand the meaning of the whole paragraph, but only translate it word by word. Language is a mysterious thing that we must read the words before and after that word in order to understand it. However, machines are lack of this kind of ability."
4,72,20170314,5,"I agree that Computer-Supported Cooperative Work contributes for engineering / CS student. You mentioned that CSCW provide as interdisciplinary platform. Actually, It can be performed by CSCW Matrix. We can work in interdisciplinary platform with same time or different time, same place or different place. We can separate it into four parts including Face to Face interactions, Continuous task, Remote interactions and communicates+ coordination. As a result, engineering / CS student can work in group efficiently with CSCW."
2,2,20170311,5,"Yes, security problem is what our customers may concern about. Authentication center is needed to make sure the database is a black box to the hacker. Maybe some mature security technology will be applied to the Amazon Go.:)"
2,2,20170311,5,"Thanks for your reply.One thing I think you need to consider about is that not all people can have a capacity to get a higher level job. I mean a people who has a low educational background can only do as a ??blue-collar??. If the government or society can not make an arrangement for them. They may can not ??survive?? in our society after the machine replace their work. Of course, it is another BIG and tricky question we need to consider."
59,15,20170320,6,"This passage gives us a brief introduction of human information interaction, which is probably one of the most important but also easy-to-ignore concept in our daily life.In my opinion, the author emphasized on the relationship between our major-IE and the concepts we learnt from class. It is indeed a very good try because the description may be useful in our future life. Also, the article have a deep insight in our future career, our advantages and disadvantages, which is also helpful for IE students. However, the passage seem to be lack of thorough analysis of the relationship between different concepts, which can be improved and elaborated a bit more."
59,15,20170320,6,"This passage analyzes the digital information in two aspects: one is the overview of basic concepts in digital information. The author gives a concise description of digital information, human agents and digital agents. The concepts are presented in a well-organized manner and impressed me a lot. Another one is about the tools of analyzing digital information, I learnt something from you and it??s helpful. However, if you can build a network of critical words in digital information, it maybe better for you to construct a well-structure article."
38,15,20170320,6,"This passage combines the basic knowledge taught in class and advanced staff taught in Elite class together, which gives us a whole picture of class material. Its is really help because it summarizes the overall structure of clustering methods. Also, the author illustrates the one application into her course project, which is impressive and offer some suggestions to the application usage. It would be better if the author can add some programming segments into the passage to make it more persuasive."
38,15,20170320,6,"This passage mainly reviewed the basic techniques of sentiment analysis taught in class, the author expressed the quintuple constitution using an example of a product, which is tailor-made and persuasive. However, I have to say that I hardly find some unique thoughts extended from the material taught in class. It seems better if you can put up with some personal insight or doubt."
38,15,20170320,6,"A really good case studying for our classmates. On the one hand, you introduced the working of Netflix recommendation system clearly to us, which helps us to understand the basic flow of training system. On the other hand, you also raise up some concerns about the underlying error, which is also very reasonable. However, there is one point I want to raise up: Can we continuously use the input data as the training model, so while we are testing the system, we are also training the system? It is just a guess."
38,15,20170320,6,"The blog basically describe the input-process-output(IPO) information processing model, the author raised up an interesting example for us to think about and finally explained her idea. What impressed me most is the point of fragmented memory. I mean, it's really surprising because it changed my previous perspective in which the memory is not flexible. However, I doubt whether it's true that the existing memory is correlated with perception, is there any proof from the neuro science perspective?"
60,15,20170320,6,"The blog post by you provided a deep and thorough analysis of information foraging theory, which is a part of knowledge I am not very clear in class. It is very useful for me! The basic idea is that the information foraging is an instinct of human being and human apply this theory into practical areas like web page ranking. It makes sense to me since I also try to use the least effort to get most information. A really well-explained article and I learnt a lot from it!"
60,15,20170320,6,"A really good reflection of concept entropy from you! You firstly gives some interpretation from different aspects generally, then deeply introduced the meaning of entropy, which was presented in a well-structured manner. I also love the example you provide since it makes the concept easy to understand. From the meta-cognition perspective, I really gained some knowledge of how to explain the concepts clearly and reader-friendly. However, I reckon that it would be even better if you can add in some real-life example using entropy analysis. Isn't it?"
34,15,20170320,6,"In your article, I can see you have introduced the different tradeoff between large-scale modelling and precise data analysis. As far as I am concerned, these are two different directions of researching approaches. One is up-down, the other is bottom-up. (Just like the project we are doing, right?) However, what I concern most is that what is the best way of combining them together? It seems that filling the gap is one of the most crucial part since there is no guarantee that your data will fit in your model. If you create a prior model that contains a bunch of essential aspects of sentiment analysis, the data you collected maybe too narrow and hard to classify. On the other way, if you first perform the data analysis, you may also encounter the non-typical user-generated information and even fail to construct a model. I am wondering whether we can discuss about this problem. By the way, it is also a major problem of our project. ."
34,15,20170320,6,"Thanks for you sharing! It seems that you did a thorough research of Amazon GO, a newly developed selling form nowadays. You firstly have a brief introduction of Amazon Go, which is clear and easy to follow. Then you show us the difference between contexts of Amazon Go and normal supermarkets. What impressed me most is that you combine the concepts introduced in the previous classes (agent's understanding of environment information classification) into the real-life cases, which deepen my perception of theorectical knowledge with practical examples. However, there is one point I cannot fully understand, why the information in Amazon Go is mainly digital? Since in my perspective, for instance, the sensor will detect the physical movement of objects, the camera will recognize the physical features of human face, people will read the price and goods information, these are all physical and semantic information. So my point maybe a bit different from you, I reckon that there is a complex combination of three types of information here, and the higher-layer information makes use of the lower-layer information. Do you agree?"
2,15,20170320,6,"Thanks for your precious sharing! The article brings about several interesting facts which is unseen to normal people. Firstly, there are several concepts like working memory which is often ignored by us. It seems we can only store a little bit information in a timestamp and we will use them to do the decision! I am impressed by this idea and it's also important to recognize human behavior. Also, the point of making use of this phenomenon to improve benefit is attracting. Overall, it's a good idea and I just wonder is there any scientific proof to make it more concrete?"
2,15,20170320,6,"Thanks for your sharing and I think I also gained a lot after reading the comments provided by previous students. As a summary, I basically think there are two general ways to do the natural language processing, one is the method we used in our project, which is dictionary-based approach. We first put in a bunch of training data like sentences or words, then we can use the dictionary to map the words into the correct meaning. However, it's not quite efficient and it cannot solve the problem you mentioned in the post. Another method maybe using the neural network, combining with the previous ides, I also have a suggestion: except from recursively selecting the optimal performance, can we also make use of the distributed system to make progress? I mean, if the a number of machines all over the world can contribute their resources together and build a overall language map, will it be better to establish a whole network? It's like the propagation algorithm, each node pass their message to their ancestors and do it again reversely. In this way, the complexity is also not too large. As far as I am concerned, it may serve as another direction of thinking."
18,15,20170320,6,"Thanks for your sharing! I find that you have basically introduced the development of the digital device nowadays and I learnt about the trend of technology is going towards interactive,portable and realistic. I consider the trend of human-machine development it's a process of information emerging. Human knows about sentiment and physical information, but machines can only understand the digital type of information. So it is an essential issue to make machine get a command of human-perceiveable information. No matter Siri, NLP or artificial intelligence, the main idea behind it is all the same. I agree with the point with you and the previous command, which is the humanlike developing trend. However, I also concern about how far can machine goes in this direction. Indeed, human nowadays have already achieved weak-AI, however, these are just basic intelligence level as a child. Is that possible to achieve strong AI or even more brilliant than human being? I reckon it's a question that worth discussing."
59,38,20170321,6,"Thanks for helping us review the three modes of information- physical, semantic anddigital; moreover, these three elements can be combined in some cases. You mentioned thatyou are confused about the perception layer on physical mode; and there is no detailedexplanation about this concept in the reference book.I want to share my understanding of this concept with you, please allow me to explain indetail.Obviously, the perception layer(i.e. perception/ cognation) in this graph bridges physicalmode and semantic mode, which means that we need perception/ cognation to transferphysical information into semantic information. We see some physical objects, we need touse our perception/ cognation in our inside language system to transfer this physicalinformation into language. From this perspective, if we want to transfer the same physicalinformation into different languages, the perception/ cognation we use may be different,which means that people having different dominant languages may have differentperception/ cognation.Hope my understanding could help! ^-^"
59,38,20170321,6,"Thanks for the introduction of an interesting tool called IFTTT, which is an intellectualhuman agent. I am interested in this useful web-based service, so I tried it immediately.IFTTT is an initialism for If This Then That. Typical apps might send e-mails if the IFTTTuser uses a certain hashtag, or copy photos on Facebook to user's album if someone tags theuser in that photo.Just as you mentioned, we mainly have two kinds of agents- human agents and digitalagents. Human agents are from embodiment to abstraction; and digital agents are fromabstraction to embodiment. Because the direction of human??s understanding and machine??sunderstanding are opposite, there are often huge barriers in information transmissionbetween nontechnical people and machine. Luckily, with IFTTT, nontechnical people cantransfer information to machine with simple human language rather than complicatedprogramming codes.Hope my idea could help! ^-^"
59,38,20170321,6,"Thanks for your introduction of general process of sentiment analysis!You mentioned the first step of analysis- use import.io or other programs to collect theinformation from the Internet. However, you met some problems at this step. You tried tocollect a small set of data from a forum, but users in the forum use slangs to express theirfeeling, which is far away from the ideal case.To solve this problem, I think we can create a dictionary which categorises these slangs intodifferent groups, just as the categorisation of adjectives in WordNet. For example, we cancategorise ??WTF??(which stands for what the fxxk) into category with the label ??hate??.Hope me suggestions could help. ^-^"
2,34,20170320,6,"I quite agree with the point of Ambiguity. Clearly, there are other perspectives that NLP has to face.For example the problem of determine the Language Pattern: in our daily life, the best answer to ??Could you pass the salt to me??? surely are response like ??of course??. However, according to the grammatical rule, computer probably choose ??Yes, I can.?? as a response, which could be a stiff choice although it is the standard positive feedback of questions like ??Can?????. In this case, not only the computer needs to understand the meaning, but also it should know the most suitable feedback in real life situations."
34,34,20170321,6,"Thank you for sharing your insight. From my perspective, it is a tradeoff between quality and quantity. On the one hand, online forum is so giant that it reflects thoughts from millions of players. Collecting comments in existed forums is relatively easy, if comparing with conducting experiments or distributing questionnaires.Surely, unlike articles or experiments full of valuable contexts and brilliant insights, most posts in online forum expresses emotion but not truth, like player??s anger or doubt. The choices of words in their comments are more casual, more sensual, even more irrational.Considering this circumstance, I suppose sentiment analysis can be a good candidate in the PX analysis. Plus, some data mining techniques like data cleaning can also be done in pre-process step to filter out most no-go information. Actually i think this problem is quite common in many cases of social network analysis. Maybe look into relevant cases of social analysis and see how they works our cleaning the data could help."
38,34,20170321,6,"Glad that you brought up the idea of training and testing in machine learning. In most cases, testing data and training data is required to be strictly separated, which means using the same data for training and testing is prohibited (is like self prove).I do agree with the advantages of reusing the data to do training and validate. Maybe when a set of new data coming in, we first use our existed model to do testing. After all the training has been done, we can reuse the testing data for training, so that the data can be reused."
57,34,20170321,6,"I think those points serve as central pillars in UI design industry. If I try to justify those points in popular UI design cases, I can find out that those successes all follow the principals and take them as their baseline. However, I think the hardest part in UI design is to keep balance between those points. i.e. if an app UI design team wants to increase their universal usability in other platforms like Android or Windows, the most straight forward way to do it is to transplant their app and make them suitable for the local requirements. In the same time, they may suffer from problems which arises from ??being universal??, like lower stability and performance, increase of size etc."
59,34,20170321,6,"Thank you for providing this website as a application to show transformation between human language and digital information here. Personally I guess this website implements some NLP techniques to achieve this transformation here. It first separates words into several categories like nonce and verbs then try to grab the whole meaning by identify the phrases and the linking words. In our real life, there are many applications which are quite similar to the example you brought to table, like Cartona and Siri.By the way, if Gakki get married one day, please help me to send regards of Lannisters."
59,34,20170321,6,"I think some approaches in data mining may help solve some of your questions. In data mining, I think the pre-processing step of data is very essential. Often, it firstly checks the validity of filled data by some type/range/mandatory constrains (i.e. when fill a questionnaire for online database, malicious user may write SQL instructions like DROP Table* instead of providing the legit content), and it can check the completeness of words and sentences, the uniformity of language, even filter out meaningless or duplicated relies to clean the collected data."
2,59,20170320,6,"The idea in the post is quite impressive. We are in an era with full of information and at the same time, full of rubbish. I think it is true that in twitter or other social media, but for big data analysis, the researches may not pay so much attention on this area. For the information in twitter or other social media, they are more like semantic information than digital information. It is hard for machines to deal with semantic information but it is easy for them to analyze digital information. Maybe the analysis on social media do help us to get some essential information but it is not efficient."
19,59,20170320,6,"Naive Bayes Classifier is a very basic point in machine. It is only a classifier. And also, the ??naive?? in its name show the status of this classifier. I think the reason why it is common in text classification is because in text analysis, many strange conditions may happen. So, it is important to use a simple but adaptable algorithm to do the classification. Maybe there exist a more powerful algorithm for the text classification than this one, but people have not known it yet.You can do some analysis on this area, find the more suitable one and speak aloud that Naive Bayes Classifier is out of date."
69,59,20170320,6,"I cannot agree with your point any more. UX is very important in product design, like game design, kitchen utensils, and so on. There are already some books to teach or inform you how to design a awesome product with nice user experience. If you have interested in this area, you may have a try. As far as I am concerned, I am very surprised that your blog design is very user friendly, which will lead to excellent user experience. Compared with other blogs i have visited, it is easy to have the overview of all of your posts. Some other blogs put all the details of their posts in one page, which makes me feel uncomfortable and hard to choose a single blog."
13,59,20170320,6,"It is a concise summary of three modes of information. I agree with your idea mentioned at the end of this post. Digital information speed up the spreading process of the other two information. With the help of Internet, we can share our idea with people on the other side of the earth. With the help of Internet, doctors can do surgery thousands of miles away with accurate perception of physical information of patient's body. It is an amazing era. People try every means to translate other kinds of information into digital information. For example, Taobao transfers the physical market into digital market, which can make great fortune. Maybe one day in future, we can experience the whole digital word, like described in movie The Matrix."
69,59,20170320,6,"Thanks for sharing. I think Naive Bayes Test Classification is a good bet although it has this problem. Actually, i think in reality, human's decision making method performs the same as Naive Bayes Test Classification. We, human being, will also replace some complex factors by using the assumptions we obtain from our previous experience. So it may be possible to use some assumptions to reduce the computation complexity in the algorithm, like Naive Bayes Test Classification. Every sword has two sides. Maybe the computers nowadays cannot afford more complex computation, so using a low-cost algorithm could optimize the result."
